FPI,SPI,AI,SFI,FFI,FPD,SPD,AD,SFD,FFD,API_X,API_Y,API_Z,APD_X,APD_Y,APD_Z,AFD_X,AFD_Y,AFD_Z,AFI_X,AFI_Y,AFI_Z
110404.55,173.66249999997672,-49015.5625,419.17499999998836,-7400.174999999988,-23046.25,-840.3125,-3916.8125,291.52500000000146,-78061.04999999999,0.6375000000000002,-0.19999999999999996,-0.42499999999999716,0.4375,0.6500000000000004,-0.6125000000000114,0.1625,0.11249999999999982,-0.4249999999999998,-0.2124999999999999,0.2375,1.0
110444.55,366.6624999999767,-48943.5625,399.17499999998836,-6737.174999999988,-23162.25,-188.3125,-3825.8125,188.52500000000146,-77905.04999999999,0.6375000000000002,-0.19999999999999996,0.5750000000000028,-0.5625,0.6500000000000004,-0.6125000000000114,0.1625,0.11249999999999982,-0.4249999999999998,-0.2124999999999999,0.2375,-1.0
110583.55,577.6624999999767,-48875.5625,251.17499999998836,-6842.174999999988,-23102.25,-752.3125,-3904.8125,72.52500000000146,-78307.04999999999,-0.3624999999999998,-0.19999999999999996,0.5750000000000028,0.4375,-0.34999999999999964,-0.6125000000000114,0.1625,-0.8875000000000002,-0.4249999999999998,-0.2124999999999999,0.2375,0.0
110464.55,416.6624999999767,-48884.5625,281.17499999998836,-7024.174999999988,-23246.25,-1004.3125,-3968.8125,-330.47499999999854,-78202.04999999999,-0.3624999999999998,-0.19999999999999996,-0.42499999999999716,0.4375,-0.34999999999999964,0.38749999999998863,0.1625,0.11249999999999982,-0.4249999999999998,-0.2124999999999999,0.2375,1.0
110213.55,-122.33750000002328,-48981.5625,313.17499999998836,-7092.174999999988,-23323.25,-732.3125,-4286.8125,-277.47499999999854,-78090.04999999999,-0.3624999999999998,-0.19999999999999996,-0.42499999999999716,0.4375,0.6500000000000004,0.38749999999998863,0.1625,0.11249999999999982,-0.4249999999999998,-0.2124999999999999,0.2375,-1.0
110283.55,-82.33750000002328,-48900.5625,319.17499999998836,-7519.174999999988,-23255.25,223.6875,-3883.8125,-460.47499999999854,-78493.04999999999,-0.3624999999999998,0.8,-0.42499999999999716,0.4375,-0.34999999999999964,1.3874999999999886,0.1625,-0.8875000000000002,-0.4249999999999998,-0.2124999999999999,0.2375,1.0
110453.55,6.662499999976717,-48858.5625,358.17499999998836,-7619.174999999988,-23220.25,-532.3125,-3879.8125,-571.4749999999985,-78517.04999999999,-0.3624999999999998,-0.19999999999999996,0.5750000000000028,1.4375,0.6500000000000004,0.38749999999998863,-0.8375,0.11249999999999982,0.5750000000000002,-0.2124999999999999,0.2375,-1.0
110545.55,309.6624999999767,-48655.5625,-57.82500000001164,-7600.174999999988,-23210.25,391.6875,-3859.8125,-666.4749999999985,-78464.04999999999,-0.3624999999999998,-0.19999999999999996,0.5750000000000028,0.4375,-0.34999999999999964,0.38749999999998863,0.1625,0.11249999999999982,-0.4249999999999998,0.7875000000000001,-0.7625,1.0
110434.55,113.66249999997672,-48644.5625,34.17499999998836,-7423.174999999988,-23223.25,23.6875,-3905.8125,-1030.4749999999985,-78299.04999999999,-0.3624999999999998,-0.19999999999999996,-0.42499999999999716,0.4375,-0.34999999999999964,-0.6125000000000114,0.1625,0.11249999999999982,-0.4249999999999998,-0.2124999999999999,0.2375,0.0
110452.55,135.66249999997672,-48795.5625,3.1749999999883585,-6788.174999999988,-23193.25,-76.3125,-3901.8125,-1194.4749999999985,-78227.04999999999,0.6375000000000002,-0.19999999999999996,-0.42499999999999716,-0.5625,-0.34999999999999964,0.38749999999998863,0.1625,0.11249999999999982,-0.4249999999999998,-0.2124999999999999,0.2375,-1.0
110581.55,81.66249999997672,-48880.5625,-113.82500000001164,-6758.174999999988,-23269.25,-405.3125,-4178.8125,-1312.4749999999985,-78457.04999999999,0.6375000000000002,-0.19999999999999996,1.5750000000000028,0.4375,-0.34999999999999964,-0.6125000000000114,0.1625,-0.8875000000000002,-0.4249999999999998,-0.2124999999999999,1.2375,0.0
110563.55,169.66249999997672,-48811.5625,-168.82500000001164,-6923.174999999988,-23244.25,-1024.3125,-3849.8125,-1357.4749999999985,-78599.04999999999,0.6375000000000002,-0.19999999999999996,-0.42499999999999716,0.4375,0.6500000000000004,-0.6125000000000114,0.1625,-0.8875000000000002,-0.4249999999999998,-0.2124999999999999,0.2375,-1.0
110324.55,187.66249999997672,-48984.5625,-85.82500000001164,-7154.174999999988,-23213.25,-404.3125,-3560.8125,-1312.4749999999985,-78521.04999999999,-0.3624999999999998,0.8,-0.42499999999999716,0.4375,-0.34999999999999964,-0.6125000000000114,0.1625,1.1124999999999998,0.5750000000000002,-0.2124999999999999,0.2375,1.0
110349.55,-84.33750000002328,-48929.5625,-351.82500000001164,-7326.174999999988,-23199.25,304.6875,-3800.8125,-1291.4749999999985,-78464.04999999999,-0.3624999999999998,-1.2,0.5750000000000028,0.4375,-0.34999999999999964,-0.6125000000000114,0.1625,0.11249999999999982,0.5750000000000002,-1.2125,1.2375,1.0
110469.55,-118.33750000002328,-48947.5625,-327.82500000001164,-7497.174999999988,-23278.25,-84.3125,-3952.8125,-1044.4749999999985,-78165.04999999999,-0.3624999999999998,-0.19999999999999996,0.5750000000000028,1.4375,0.6500000000000004,-0.6125000000000114,-0.8375,0.11249999999999982,-0.4249999999999998,0.7875000000000001,-0.7625,-1.0
110334.55,38.66249999997672,-49014.5625,-421.82500000001164,-7660.174999999988,-23006.25,-799.3125,-3915.8125,-968.4749999999985,-78120.04999999999,-0.3624999999999998,-0.19999999999999996,0.5750000000000028,0.4375,-0.34999999999999964,-0.6125000000000114,0.1625,0.11249999999999982,0.5750000000000002,0.7875000000000001,0.2375,0.0
110466.55,46.66249999997672,-48872.5625,-419.82500000001164,-7429.174999999988,-22958.25,-356.3125,-4062.8125,-733.4749999999985,-78037.04999999999,0.6375000000000002,-0.19999999999999996,0.5750000000000028,0.4375,0.6500000000000004,-1.6125000000000114,0.1625,-0.8875000000000002,0.5750000000000002,-0.2124999999999999,-0.7625,0.0
110504.55,-64.33750000002328,-48740.5625,-271.82500000001164,-7163.174999999988,-23126.25,31.6875,-3845.8125,-646.4749999999985,-78231.04999999999,0.6375000000000002,0.8,-0.42499999999999716,1.4375,0.6500000000000004,-0.6125000000000114,0.1625,-0.8875000000000002,-0.4249999999999998,-0.2124999999999999,0.2375,-1.0
110445.55,-148.33750000002328,-48881.5625,-236.82500000001164,-7216.174999999988,-23141.25,-1187.3125,-3835.8125,-669.4749999999985,-78440.04999999999,0.6375000000000002,-0.19999999999999996,-0.42499999999999716,0.4375,-0.34999999999999964,-0.6125000000000114,0.1625,0.11249999999999982,0.5750000000000002,-0.2124999999999999,0.2375,0.0
